Current Semester,Gender,How often do you spend time with your friends,How often do you visit faculties outside class,Average Attendance,How attentive are you in class,Participation in co-curricular and extra curricular activities,Study Time per day,How much time do you spend on social media,Previous semester scores,How often do you take extra courses,Rate your health,How many hours do you sleep a day,How much time do you spend in library,Enter you group name,Decision
2,Male,Low,Low,>85,Less attentive,Low,>4 hours,1 to 4 hours,>7 but <9 GPA,Sometimes,5,>8,<1 hour,,6
7,Female,Low,High,>85,Average,High,1 to 4 hours,<1 hour,<5 GPA,Often,1,<6,<1 hour,,8
4,Female,Low,High,>85,Less attentive,High,<1 hour,1 to 4 hours,>5 but <7 GPA,Often,2,>8,1 to 4 hours,,5
7,Female,Low,Low,>85,Very attentive,Low,1 to 4 hours,1 to 4 hours,>5 but <7 GPA,Often,3,>8,1 to 4 hours,,5
5,Male,Moderate,Moderate,85 to 75,Less attentive,Low,<1 hour,<1 hour,>5 but <7 GPA,Never,1,<6,<1 hour,,4
3,Female,Moderate,Low,85 to 75,Average,High,<1 hour,>4 hours,>5 but <7 GPA,Sometimes,1,<6,<1 hour,,7
1,Male,Moderate,High,<75,Less attentive,Moderate,1 to 4 hours,>4 hours,>9 GPA,Never,4,>8,1 to 4 hours,,9
6,Female,Moderate,High,<75,Very attentive,Moderate,>4 hours,>4 hours,>7 but <9 GPA,Sometimes,5,6 to 8,1 to 4 hours,,8
2,Female,Moderate,Moderate,>85,Average,High,>4 hours,1 to 4 hours,>7 but <9 GPA,Never,1,<6,1 to 4 hours,,4
7,Female,Low,High,>85,Very attentive,Moderate,>4 hours,>4 hours,<5 GPA,Often,4,6 to 8,>4 hours,,6
3,Male,Moderate,Low,85 to 75,Average,Low,<1 hour,1 to 4 hours,>5 but <7 GPA,Sometimes,1,<6,<1 hour,,4
1,Female,Low,High,85 to 75,Very attentive,High,1 to 4 hours,1 to 4 hours,>5 but <7 GPA,Never,4,>8,1 to 4 hours,,4
8,Male,High,Low,85 to 75,Average,Low,1 to 4 hours,>4 hours,>5 but <7 GPA,Never,1,<6,>4 hours,,4
5,Female,Low,High,85 to 75,Very attentive,Moderate,1 to 4 hours,1 to 4 hours,<5 GPA,Sometimes,5,6 to 8,<1 hour,,5
1,Male,Moderate,High,85 to 75,Very attentive,High,>4 hours,>4 hours,>9 GPA,Never,1,6 to 8,>4 hours,,5
1,Female,High,Moderate,85 to 75,Less attentive,High,>4 hours,<1 hour,>9 GPA,Sometimes,2,<6,1 to 4 hours,,7
2,Male,Low,High,<75,Less attentive,High,>4 hours,>4 hours,>7 but <9 GPA,Never,4,>8,>4 hours,,4
5,Female,Moderate,High,<75,Less attentive,Moderate,1 to 4 hours,<1 hour,>9 GPA,Often,1,<6,>4 hours,,6
1,Female,High,High,<75,Very attentive,Low,1 to 4 hours,<1 hour,<5 GPA,Never,4,6 to 8,>4 hours,,5
1,Female,Low,High,85 to 75,Very attentive,Low,1 to 4 hours,1 to 4 hours,>9 GPA,Often,5,<6,>4 hours,,10
6,Male,Low,Low,<75,Average,Low,1 to 4 hours,>4 hours,>7 but <9 GPA,Often,1,<6,1 to 4 hours,,7
3,Female,High,High,<75,Very attentive,High,<1 hour,1 to 4 hours,<5 GPA,Never,1,>8,<1 hour,,7
2,Male,Moderate,Low,<75,Very attentive,Moderate,1 to 4 hours,1 to 4 hours,>5 but <7 GPA,Often,3,<6,>4 hours,,7
5,Female,Low,High,85 to 75,Less attentive,Moderate,1 to 4 hours,<1 hour,>7 but <9 GPA,Never,4,6 to 8,<1 hour,,10
4,Female,Low,High,85 to 75,Average,High,>4 hours,1 to 4 hours,>5 but <7 GPA,Often,1,>8,<1 hour,,10
3,Female,Moderate,Moderate,85 to 75,Very attentive,High,1 to 4 hours,<1 hour,<5 GPA,Often,3,<6,<1 hour,,6
3,Male,High,Low,<75,Less attentive,Low,>4 hours,<1 hour,<5 GPA,Often,5,6 to 8,1 to 4 hours,,10
5,Male,Low,Low,85 to 75,Average,Moderate,>4 hours,>4 hours,<5 GPA,Sometimes,4,>8,1 to 4 hours,,5
1,Male,Moderate,Low,85 to 75,Very attentive,High,<1 hour,1 to 4 hours,>5 but <7 GPA,Never,5,6 to 8,>4 hours,,6
2,Male,High,Low,85 to 75,Less attentive,High,<1 hour,<1 hour,<5 GPA,Never,2,6 to 8,>4 hours,,7
2,Male,High,Low,>85,Average,Moderate,<1 hour,<1 hour,>5 but <7 GPA,Never,4,<6,<1 hour,,6
4,Female,Low,Low,<75,Average,High,1 to 4 hours,<1 hour,>9 GPA,Sometimes,3,6 to 8,>4 hours,,4
1,Female,Low,Moderate,<75,Average,Low,1 to 4 hours,>4 hours,>5 but <7 GPA,Never,3,<6,>4 hours,,5
4,Female,Moderate,High,85 to 75,Very attentive,Moderate,<1 hour,>4 hours,>5 but <7 GPA,Often,3,6 to 8,1 to 4 hours,,9
1,Male,High,Moderate,85 to 75,Very attentive,High,1 to 4 hours,<1 hour,<5 GPA,Never,3,>8,<1 hour,,4
7,Male,High,Low,<75,Less attentive,Low,1 to 4 hours,<1 hour,>5 but <7 GPA,Sometimes,1,>8,>4 hours,,10
8,Male,High,Moderate,85 to 75,Very attentive,Moderate,<1 hour,<1 hour,>9 GPA,Often,3,>8,1 to 4 hours,,4
6,Female,High,Moderate,85 to 75,Very attentive,High,1 to 4 hours,1 to 4 hours,>5 but <7 GPA,Sometimes,1,6 to 8,1 to 4 hours,,4
3,Female,Moderate,High,<75,Very attentive,Low,>4 hours,<1 hour,>5 but <7 GPA,Often,1,6 to 8,<1 hour,,9
3,Male,Low,High,<75,Very attentive,Moderate,<1 hour,1 to 4 hours,<5 GPA,Never,2,<6,>4 hours,,6
3,Female,Low,Low,85 to 75,Very attentive,Moderate,1 to 4 hours,1 to 4 hours,>9 GPA,Never,4,>8,1 to 4 hours,,9
2,Female,Moderate,Low,85 to 75,Less attentive,High,1 to 4 hours,1 to 4 hours,>5 but <7 GPA,Sometimes,2,6 to 8,<1 hour,,9
8,Male,Moderate,Low,85 to 75,Average,Moderate,>4 hours,>4 hours,>7 but <9 GPA,Often,3,6 to 8,1 to 4 hours,,9
4,Female,High,High,85 to 75,Less attentive,Moderate,1 to 4 hours,<1 hour,<5 GPA,Never,1,>8,1 to 4 hours,,4
1,Male,Low,Low,<75,Average,Low,1 to 4 hours,1 to 4 hours,>9 GPA,Often,1,>8,<1 hour,,7
6,Female,Low,High,85 to 75,Very attentive,High,1 to 4 hours,>4 hours,>7 but <9 GPA,Often,5,6 to 8,1 to 4 hours,,5
4,Male,High,Low,>85,Less attentive,Moderate,1 to 4 hours,<1 hour,<5 GPA,Often,3,>8,>4 hours,,6
6,Female,Moderate,High,85 to 75,Less attentive,Low,<1 hour,>4 hours,>5 but <7 GPA,Sometimes,5,6 to 8,1 to 4 hours,,4
8,Male,Low,High,>85,Less attentive,Moderate,>4 hours,1 to 4 hours,>7 but <9 GPA,Never,3,<6,1 to 4 hours,,4
7,Female,Moderate,Low,85 to 75,Very attentive,Moderate,>4 hours,<1 hour,<5 GPA,Often,5,>8,>4 hours,,6
1,Female,Low,High,>85,Very attentive,High,1 to 4 hours,<1 hour,>7 but <9 GPA,Sometimes,2,>8,1 to 4 hours,,5
5,Male,Low,Low,>85,Less attentive,High,<1 hour,1 to 4 hours,>5 but <7 GPA,Never,5,6 to 8,1 to 4 hours,,4
6,Female,Moderate,Low,<75,Very attentive,Moderate,1 to 4 hours,>4 hours,<5 GPA,Never,1,6 to 8,1 to 4 hours,,4
4,Male,Moderate,Low,>85,Less attentive,Low,<1 hour,<1 hour,>9 GPA,Never,1,>8,>4 hours,,8
7,Male,Low,Moderate,<75,Less attentive,Low,1 to 4 hours,>4 hours,<5 GPA,Sometimes,1,6 to 8,<1 hour,,8
6,Female,Moderate,Moderate,>85,Very attentive,Low,>4 hours,1 to 4 hours,<5 GPA,Sometimes,3,>8,<1 hour,,6
5,Female,Moderate,High,<75,Very attentive,Low,>4 hours,1 to 4 hours,>9 GPA,Sometimes,5,<6,<1 hour,,9
6,Male,Moderate,Moderate,<75,Average,Low,>4 hours,1 to 4 hours,>7 but <9 GPA,Never,1,6 to 8,1 to 4 hours,,7
3,Female,Moderate,High,>85,Very attentive,High,>4 hours,>4 hours,>5 but <7 GPA,Never,2,<6,>4 hours,,6
4,Male,High,High,85 to 75,Average,High,>4 hours,<1 hour,<5 GPA,Sometimes,4,6 to 8,1 to 4 hours,,10
6,Female,Moderate,High,85 to 75,Average,Moderate,1 to 4 hours,<1 hour,>9 GPA,Often,2,6 to 8,>4 hours,,4
4,Male,Low,Low,<75,Less attentive,Low,>4 hours,>4 hours,>7 but <9 GPA,Often,2,<6,1 to 4 hours,,4
3,Female,Moderate,Moderate,85 to 75,Very attentive,Moderate,1 to 4 hours,1 to 4 hours,>5 but <7 GPA,Never,1,>8,>4 hours,,10
8,Female,High,Low,>85,Very attentive,Moderate,1 to 4 hours,<1 hour,>7 but <9 GPA,Often,1,6 to 8,<1 hour,,4
1,Female,Moderate,High,<75,Very attentive,High,<1 hour,<1 hour,>7 but <9 GPA,Never,1,>8,>4 hours,,7
3,Male,Moderate,Moderate,>85,Less attentive,High,1 to 4 hours,>4 hours,<5 GPA,Sometimes,3,6 to 8,1 to 4 hours,,4
6,Female,Low,High,>85,Very attentive,Moderate,<1 hour,<1 hour,<5 GPA,Sometimes,2,<6,<1 hour,,9
4,Male,High,Low,>85,Average,Low,>4 hours,>4 hours,>9 GPA,Never,2,<6,>4 hours,,9
7,Male,Low,Moderate,<75,Very attentive,Low,>4 hours,1 to 4 hours,>9 GPA,Sometimes,2,6 to 8,>4 hours,,5
7,Female,Low,Moderate,85 to 75,Average,Low,>4 hours,<1 hour,>9 GPA,Never,1,6 to 8,1 to 4 hours,,5
4,Male,Moderate,Low,<75,Average,High,1 to 4 hours,<1 hour,>5 but <7 GPA,Often,5,<6,>4 hours,,5
8,Female,High,Low,>85,Average,High,>4 hours,>4 hours,>5 but <7 GPA,Never,2,<6,>4 hours,,10
3,Female,High,Low,>85,Less attentive,High,<1 hour,<1 hour,>7 but <9 GPA,Often,2,<6,<1 hour,,4
8,Male,Low,High,85 to 75,Less attentive,Low,<1 hour,<1 hour,>9 GPA,Never,2,>8,>4 hours,,4
5,Male,High,High,>85,Less attentive,High,>4 hours,>4 hours,>7 but <9 GPA,Never,5,6 to 8,<1 hour,,9
1,Male,High,Moderate,>85,Less attentive,Moderate,<1 hour,1 to 4 hours,<5 GPA,Never,1,<6,<1 hour,,7
8,Male,Low,Low,85 to 75,Less attentive,High,1 to 4 hours,1 to 4 hours,<5 GPA,Never,4,>8,>4 hours,,8
7,Female,High,High,>85,Very attentive,Low,>4 hours,>4 hours,>5 but <7 GPA,Often,1,>8,>4 hours,,6
7,Male,Moderate,Low,85 to 75,Very attentive,Low,1 to 4 hours,>4 hours,>9 GPA,Often,1,6 to 8,1 to 4 hours,,10
6,Female,High,Moderate,>85,Less attentive,High,1 to 4 hours,>4 hours,>7 but <9 GPA,Often,5,<6,1 to 4 hours,,7
3,Female,Low,Moderate,<75,Less attentive,High,1 to 4 hours,>4 hours,<5 GPA,Sometimes,2,<6,<1 hour,,9
2,Female,Low,Moderate,>85,Less attentive,Moderate,>4 hours,<1 hour,>7 but <9 GPA,Never,5,6 to 8,<1 hour,,9
8,Male,Moderate,Moderate,>85,Very attentive,High,<1 hour,>4 hours,>9 GPA,Never,1,<6,1 to 4 hours,,4
1,Female,Low,Low,85 to 75,Average,Moderate,<1 hour,<1 hour,<5 GPA,Often,1,<6,>4 hours,,7
1,Female,High,Moderate,85 to 75,Average,Low,1 to 4 hours,1 to 4 hours,<5 GPA,Sometimes,5,6 to 8,<1 hour,,7
6,Male,High,Moderate,>85,Average,Low,>4 hours,>4 hours,>5 but <7 GPA,Never,2,6 to 8,1 to 4 hours,,9
7,Male,High,High,>85,Less attentive,Low,>4 hours,>4 hours,<5 GPA,Sometimes,1,>8,1 to 4 hours,,6
4,Female,Moderate,Moderate,<75,Less attentive,Low,>4 hours,1 to 4 hours,>7 but <9 GPA,Often,5,6 to 8,>4 hours,,6
7,Male,Moderate,Low,85 to 75,Less attentive,High,>4 hours,<1 hour,>7 but <9 GPA,Sometimes,1,<6,>4 hours,,6
5,Female,Low,High,85 to 75,Less attentive,Low,1 to 4 hours,<1 hour,>7 but <9 GPA,Often,5,6 to 8,<1 hour,,5
4,Male,Low,High,>85,Less attentive,High,>4 hours,<1 hour,>9 GPA,Sometimes,4,6 to 8,>4 hours,,5
7,Female,Moderate,Low,<75,Average,High,>4 hours,>4 hours,>9 GPA,Often,3,>8,>4 hours,,9
7,Male,Moderate,Moderate,<75,Very attentive,Low,>4 hours,>4 hours,>9 GPA,Often,5,>8,>4 hours,,7
8,Male,High,High,85 to 75,Very attentive,Moderate,<1 hour,<1 hour,>9 GPA,Often,2,6 to 8,<1 hour,,4
6,Male,Low,High,<75,Very attentive,High,1 to 4 hours,1 to 4 hours,>7 but <9 GPA,Sometimes,3,<6,1 to 4 hours,,7
3,Male,Moderate,Low,>85,Less attentive,High,1 to 4 hours,>4 hours,>5 but <7 GPA,Never,3,6 to 8,1 to 4 hours,,8
2,Male,High,High,<75,Less attentive,High,>4 hours,>4 hours,>5 but <7 GPA,Never,1,>8,1 to 4 hours,,4
5,Female,High,Moderate,>85,Very attentive,Low,1 to 4 hours,1 to 4 hours,>7 but <9 GPA,Sometimes,5,<6,<1 hour,,5
6,Male,Low,Moderate,<75,Very attentive,Low,>4 hours,<1 hour,>5 but <7 GPA,Often,3,6 to 8,1 to 4 hours,,5
8,Female,Low,Moderate,<75,Less attentive,Moderate,1 to 4 hours,>4 hours,<5 GPA,Sometimes,4,<6,<1 hour,,9
2,Male,High,Low,<75,Less attentive,High,1 to 4 hours,>4 hours,>5 but <7 GPA,Often,5,<6,1 to 4 hours,,6
5,Female,High,Low,85 to 75,Average,Low,1 to 4 hours,>4 hours,>7 but <9 GPA,Often,5,>8,>4 hours,,8
1,Male,High,High,<75,Average,Low,>4 hours,<1 hour,>7 but <9 GPA,Sometimes,2,<6,<1 hour,,4
5,Female,High,High,>85,Average,High,1 to 4 hours,1 to 4 hours,>9 GPA,Never,5,6 to 8,>4 hours,,8
8,Male,Low,Moderate,85 to 75,Less attentive,Low,1 to 4 hours,1 to 4 hours,>9 GPA,Never,3,>8,<1 hour,,8
4,Female,High,Low,85 to 75,Less attentive,High,<1 hour,1 to 4 hours,<5 GPA,Sometimes,3,<6,<1 hour,,5
3,Male,High,Moderate,<75,Less attentive,High,1 to 4 hours,<1 hour,>9 GPA,Never,5,>8,1 to 4 hours,,6
2,Male,Low,Low,>85,Average,High,<1 hour,1 to 4 hours,<5 GPA,Never,1,<6,<1 hour,,6
7,Female,Moderate,Moderate,<75,Average,Low,<1 hour,>4 hours,>7 but <9 GPA,Never,1,<6,<1 hour,,10
6,Male,Low,Low,85 to 75,Very attentive,Low,1 to 4 hours,>4 hours,>9 GPA,Sometimes,3,6 to 8,>4 hours,,6
7,Female,High,High,>85,Very attentive,Low,1 to 4 hours,<1 hour,>5 but <7 GPA,Never,3,6 to 8,>4 hours,,5
8,Female,Moderate,High,85 to 75,Less attentive,Low,>4 hours,1 to 4 hours,>5 but <7 GPA,Never,2,>8,<1 hour,,10
5,Male,Low,High,>85,Less attentive,High,<1 hour,<1 hour,>7 but <9 GPA,Never,4,6 to 8,1 to 4 hours,,7
6,Female,Moderate,High,<75,Very attentive,High,1 to 4 hours,<1 hour,>5 but <7 GPA,Never,5,>8,>4 hours,,8
2,Male,High,Moderate,<75,Average,Low,>4 hours,<1 hour,>7 but <9 GPA,Sometimes,3,6 to 8,>4 hours,,5
3,Female,High,Low,>85,Less attentive,Moderate,<1 hour,<1 hour,<5 GPA,Sometimes,1,>8,<1 hour,,7
1,Female,Moderate,Low,85 to 75,Less attentive,High,>4 hours,>4 hours,>7 but <9 GPA,Sometimes,3,>8,>4 hours,,6
8,Female,High,Low,>85,Average,High,<1 hour,>4 hours,>7 but <9 GPA,Never,3,<6,1 to 4 hours,,10
5,Male,Moderate,Low,<75,Less attentive,High,1 to 4 hours,1 to 4 hours,>5 but <7 GPA,Sometimes,3,<6,1 to 4 hours,,5
4,Male,Low,Low,>85,Less attentive,Low,>4 hours,>4 hours,>7 but <9 GPA,Never,4,>8,1 to 4 hours,,9
8,Male,Moderate,Low,>85,Average,Moderate,<1 hour,>4 hours,<5 GPA,Sometimes,4,>8,>4 hours,,9
5,Female,High,Low,<75,Very attentive,Moderate,1 to 4 hours,1 to 4 hours,<5 GPA,Often,3,>8,1 to 4 hours,,7
4,Female,High,Low,>85,Very attentive,Moderate,>4 hours,<1 hour,>5 but <7 GPA,Never,3,<6,>4 hours,,10
6,Female,Low,Moderate,>85,Less attentive,High,1 to 4 hours,<1 hour,<5 GPA,Often,1,>8,1 to 4 hours,,6
2,Male,Low,High,85 to 75,Very attentive,Low,>4 hours,<1 hour,<5 GPA,Often,2,<6,1 to 4 hours,,8
8,Male,Low,High,85 to 75,Average,High,1 to 4 hours,<1 hour,>7 but <9 GPA,Often,4,<6,>4 hours,,7
6,Female,Moderate,High,>85,Average,Low,>4 hours,<1 hour,>5 but <7 GPA,Sometimes,3,6 to 8,>4 hours,,10
5,Female,Low,High,>85,Less attentive,Low,<1 hour,1 to 4 hours,>7 but <9 GPA,Never,1,6 to 8,>4 hours,,6
5,Male,Moderate,Moderate,>85,Very attentive,High,>4 hours,<1 hour,>5 but <7 GPA,Sometimes,1,<6,1 to 4 hours,,4
7,Female,High,High,<75,Average,High,>4 hours,>4 hours,<5 GPA,Never,2,>8,1 to 4 hours,,6
6,Male,High,High,<75,Less attentive,High,<1 hour,1 to 4 hours,>9 GPA,Never,5,<6,1 to 4 hours,,4
4,Female,High,Low,<75,Less attentive,High,<1 hour,<1 hour,>9 GPA,Sometimes,3,6 to 8,1 to 4 hours,,10
7,Male,High,High,>85,Average,High,>4 hours,>4 hours,<5 GPA,Sometimes,1,>8,1 to 4 hours,,10
4,Male,Moderate,Moderate,<75,Less attentive,High,1 to 4 hours,>4 hours,>9 GPA,Sometimes,3,>8,1 to 4 hours,,4
8,Male,High,Low,>85,Very attentive,Low,1 to 4 hours,>4 hours,<5 GPA,Sometimes,4,6 to 8,>4 hours,,6
7,Female,Low,High,<75,Average,High,>4 hours,1 to 4 hours,>9 GPA,Sometimes,2,6 to 8,<1 hour,,6
4,Female,Low,Low,85 to 75,Very attentive,High,1 to 4 hours,1 to 4 hours,<5 GPA,Often,4,<6,1 to 4 hours,,6
7,Female,High,Low,<75,Average,High,<1 hour,1 to 4 hours,>9 GPA,Never,1,6 to 8,>4 hours,,7
1,Male,High,Low,>85,Very attentive,Low,1 to 4 hours,>4 hours,>7 but <9 GPA,Sometimes,1,>8,<1 hour,,9
1,Male,Low,High,>85,Less attentive,Moderate,>4 hours,>4 hours,>5 but <7 GPA,Sometimes,4,>8,1 to 4 hours,,6
3,Female,Moderate,Low,>85,Less attentive,Moderate,<1 hour,>4 hours,>9 GPA,Sometimes,2,<6,1 to 4 hours,,7
8,Female,High,High,>85,Average,Moderate,>4 hours,1 to 4 hours,>7 but <9 GPA,Sometimes,3,6 to 8,1 to 4 hours,,6
2,Male,Moderate,High,85 to 75,Very attentive,Low,1 to 4 hours,1 to 4 hours,>5 but <7 GPA,Never,2,>8,1 to 4 hours,,5
3,Male,Moderate,High,85 to 75,Less attentive,Moderate,>4 hours,>4 hours,<5 GPA,Sometimes,3,<6,>4 hours,,5
3,Female,Moderate,Moderate,<75,Very attentive,Moderate,>4 hours,1 to 4 hours,>7 but <9 GPA,Never,2,6 to 8,1 to 4 hours,,5
1,Male,Low,Low,>85,Very attentive,Low,<1 hour,>4 hours,>9 GPA,Often,3,6 to 8,>4 hours,,5
5,Male,High,Low,<75,Average,High,<1 hour,1 to 4 hours,>5 but <7 GPA,Never,3,>8,>4 hours,,6
2,Female,Moderate,Low,85 to 75,Average,High,>4 hours,>4 hours,>7 but <9 GPA,Sometimes,3,<6,1 to 4 hours,,8
3,Female,Moderate,Moderate,>85,Very attentive,Moderate,1 to 4 hours,1 to 4 hours,>7 but <9 GPA,Sometimes,3,6 to 8,1 to 4 hours,,5
6,Female,Low,Moderate,<75,Average,High,1 to 4 hours,>4 hours,>5 but <7 GPA,Sometimes,5,>8,>4 hours,,10
7,Female,Low,Low,85 to 75,Very attentive,High,1 to 4 hours,>4 hours,>5 but <7 GPA,Sometimes,1,>8,1 to 4 hours,,10
1,Female,Low,Low,85 to 75,Less attentive,High,<1 hour,<1 hour,<5 GPA,Never,3,6 to 8,<1 hour,,10
1,Female,High,Moderate,<75,Less attentive,High,>4 hours,<1 hour,>5 but <7 GPA,Sometimes,4,6 to 8,1 to 4 hours,,6
4,Male,Moderate,Moderate,<75,Average,Moderate,>4 hours,<1 hour,>9 GPA,Sometimes,2,>8,1 to 4 hours,,7
8,Female,Low,High,<75,Less attentive,High,<1 hour,1 to 4 hours,>5 but <7 GPA,Sometimes,4,<6,1 to 4 hours,,10
2,Female,Moderate,Moderate,<75,Less attentive,High,>4 hours,>4 hours,>7 but <9 GPA,Often,4,6 to 8,<1 hour,,8
4,Male,Moderate,Low,<75,Very attentive,Low,>4 hours,>4 hours,>5 but <7 GPA,Sometimes,5,6 to 8,1 to 4 hours,,5
7,Male,Low,Low,>85,Very attentive,Low,1 to 4 hours,>4 hours,>7 but <9 GPA,Sometimes,1,>8,>4 hours,,7
4,Female,Low,High,>85,Average,High,>4 hours,>4 hours,>7 but <9 GPA,Never,4,<6,>4 hours,,5
5,Male,Moderate,Moderate,>85,Average,Moderate,1 to 4 hours,<1 hour,>9 GPA,Sometimes,5,6 to 8,<1 hour,,4
5,Male,High,High,<75,Very attentive,High,>4 hours,>4 hours,>7 but <9 GPA,Never,1,6 to 8,>4 hours,,6
4,Female,High,High,<75,Very attentive,Low,>4 hours,>4 hours,<5 GPA,Sometimes,3,<6,<1 hour,,4
4,Male,Moderate,Moderate,<75,Less attentive,Moderate,1 to 4 hours,<1 hour,>7 but <9 GPA,Never,5,>8,<1 hour,,10
6,Male,Moderate,Low,85 to 75,Very attentive,Low,>4 hours,>4 hours,<5 GPA,Never,1,6 to 8,>4 hours,,5
4,Female,Moderate,Moderate,85 to 75,Very attentive,Moderate,1 to 4 hours,1 to 4 hours,>7 but <9 GPA,Never,1,>8,<1 hour,,9
3,Male,High,Moderate,<75,Very attentive,High,>4 hours,>4 hours,>5 but <7 GPA,Never,1,>8,1 to 4 hours,,5
4,Female,Moderate,Low,<75,Very attentive,Moderate,>4 hours,<1 hour,>9 GPA,Sometimes,2,<6,<1 hour,,10
7,Female,Low,Moderate,85 to 75,Average,Moderate,1 to 4 hours,<1 hour,>7 but <9 GPA,Sometimes,4,<6,1 to 4 hours,,8
5,Female,High,High,>85,Less attentive,High,1 to 4 hours,>4 hours,>9 GPA,Never,4,<6,1 to 4 hours,,4
7,Female,Moderate,High,<75,Very attentive,High,1 to 4 hours,<1 hour,>5 but <7 GPA,Sometimes,1,<6,<1 hour,,6
6,Male,High,Low,<75,Very attentive,Moderate,>4 hours,1 to 4 hours,>5 but <7 GPA,Often,4,>8,1 to 4 hours,,6
1,Male,Moderate,High,<75,Average,High,>4 hours,1 to 4 hours,<5 GPA,Often,3,>8,1 to 4 hours,,6
6,Female,Low,Low,85 to 75,Average,Moderate,1 to 4 hours,<1 hour,>9 GPA,Often,3,6 to 8,<1 hour,,7
6,Male,Low,High,<75,Average,Low,<1 hour,<1 hour,>7 but <9 GPA,Often,4,<6,<1 hour,,9
3,Male,Low,Low,<75,Very attentive,High,>4 hours,>4 hours,<5 GPA,Often,3,>8,>4 hours,,9
6,Female,Moderate,Moderate,>85,Less attentive,Low,<1 hour,<1 hour,>5 but <7 GPA,Often,1,>8,>4 hours,,10
8,Female,High,High,<75,Very attentive,Low,<1 hour,<1 hour,<5 GPA,Sometimes,1,<6,>4 hours,,8
6,Female,Moderate,Low,<75,Very attentive,Low,>4 hours,<1 hour,>5 but <7 GPA,Often,2,6 to 8,1 to 4 hours,,10
7,Female,Low,High,>85,Less attentive,Moderate,1 to 4 hours,<1 hour,<5 GPA,Often,1,>8,<1 hour,,8
6,Male,High,Low,>85,Very attentive,High,1 to 4 hours,<1 hour,>7 but <9 GPA,Never,1,<6,<1 hour,,7
4,Male,Moderate,High,<75,Average,Low,>4 hours,>4 hours,>7 but <9 GPA,Never,4,>8,>4 hours,,6
6,Male,Low,Moderate,>85,Very attentive,High,<1 hour,1 to 4 hours,>7 but <9 GPA,Often,5,6 to 8,1 to 4 hours,,10
2,Female,High,Low,>85,Average,High,<1 hour,1 to 4 hours,>5 but <7 GPA,Often,3,6 to 8,>4 hours,,4
3,Male,Low,Moderate,>85,Average,High,<1 hour,1 to 4 hours,<5 GPA,Never,4,>8,<1 hour,,9
3,Female,High,High,>85,Very attentive,Low,>4 hours,<1 hour,<5 GPA,Sometimes,1,<6,>4 hours,,10
4,Female,High,Low,>85,Average,Low,<1 hour,<1 hour,>7 but <9 GPA,Sometimes,1,6 to 8,1 to 4 hours,,5
5,Male,Low,High,85 to 75,Very attentive,High,>4 hours,1 to 4 hours,>9 GPA,Never,5,>8,<1 hour,,4
8,Male,High,Low,<75,Very attentive,Low,<1 hour,1 to 4 hours,>5 but <7 GPA,Sometimes,2,>8,>4 hours,,5
8,Female,Moderate,Low,>85,Average,High,>4 hours,1 to 4 hours,>9 GPA,Often,5,>8,1 to 4 hours,,7
5,Male,High,Low,>85,Less attentive,High,>4 hours,>4 hours,>9 GPA,Sometimes,3,6 to 8,>4 hours,,10
8,Female,Moderate,Moderate,<75,Average,Low,1 to 4 hours,>4 hours,>5 but <7 GPA,Sometimes,5,6 to 8,<1 hour,,7
6,Female,Low,Low,>85,Very attentive,Moderate,>4 hours,<1 hour,>5 but <7 GPA,Never,2,6 to 8,1 to 4 hours,,10
7,Male,Low,Low,<75,Less attentive,High,1 to 4 hours,<1 hour,>9 GPA,Sometimes,4,<6,1 to 4 hours,,7
5,Male,High,Moderate,<75,Average,Moderate,>4 hours,1 to 4 hours,>7 but <9 GPA,Sometimes,4,<6,>4 hours,,9
7,Female,Moderate,Moderate,<75,Very attentive,Moderate,1 to 4 hours,<1 hour,<5 GPA,Never,3,>8,>4 hours,,4
3,Female,High,Low,85 to 75,Very attentive,High,1 to 4 hours,1 to 4 hours,>9 GPA,Never,3,>8,>4 hours,,6
6,Male,High,Moderate,85 to 75,Very attentive,Moderate,1 to 4 hours,>4 hours,<5 GPA,Never,2,6 to 8,<1 hour,,10
2,Female,Low,Low,85 to 75,Less attentive,High,1 to 4 hours,<1 hour,>7 but <9 GPA,Never,4,<6,>4 hours,,8
2,Male,Moderate,Moderate,85 to 75,Less attentive,Moderate,<1 hour,>4 hours,>5 but <7 GPA,Never,4,>8,<1 hour,,5
5,Male,Low,High,<75,Less attentive,Moderate,>4 hours,<1 hour,>9 GPA,Never,1,6 to 8,>4 hours,,10
1,Female,Low,Moderate,<75,Average,High,>4 hours,<1 hour,<5 GPA,Often,3,6 to 8,1 to 4 hours,,6
2,Male,Moderate,Moderate,>85,Very attentive,Low,>4 hours,<1 hour,>9 GPA,Sometimes,3,6 to 8,1 to 4 hours,,6
3,Male,Low,High,>85,Less attentive,Moderate,<1 hour,1 to 4 hours,>9 GPA,Sometimes,1,>8,<1 hour,,6
8,Female,Low,High,>85,Very attentive,Low,1 to 4 hours,>4 hours,>5 but <7 GPA,Often,2,>8,1 to 4 hours,,8
1,Female,High,High,>85,Less attentive,Moderate,>4 hours,<1 hour,<5 GPA,Never,2,>8,>4 hours,,10
8,Female,Low,Moderate,>85,Average,High,1 to 4 hours,1 to 4 hours,>9 GPA,Never,3,6 to 8,>4 hours,,9
